,importance,feature
0,0.0012117954489230494,flow_duration
1,0.001013954302882049,fwd_pkts_tot
2,0.0014178324027204906,bwd_pkts_tot
3,0.00642342256436231,fwd_data_pkts_tot
4,0.001131421197982911,bwd_data_pkts_tot
5,0.002657592672543146,fwd_pkts_per_sec
6,0.0011492424842534804,bwd_pkts_per_sec
7,0.03163654344607216,flow_pkts_per_sec
8,0.0009691238909005078,down_up_ratio
9,0.0011030502624122945,fwd_header_size_tot
10,0.0011355896609119582,fwd_header_size_min
11,0.0011246186416513308,fwd_header_size_max
12,0.0013143918387331953,bwd_header_size_tot
13,0.001123105916598784,bwd_header_size_min
14,0.0012954409438389284,bwd_header_size_max
15,0.00112980375836286,flow_FIN_flag_count
16,0.0011774191757461298,flow_SYN_flag_count
17,0.0018045060799393544,flow_RST_flag_count
18,0.0013505207612604338,fwd_PSH_flag_count
19,0.0008453459934627802,bwd_PSH_flag_count
20,0.0012252847759863681,flow_ACK_flag_count
21,0.0014067469953051063,fwd_URG_flag_count
22,0.001210152971452054,bwd_URG_flag_count
23,0.0012920446653291284,flow_CWR_flag_count
24,0.0010649053074416848,flow_ECE_flag_count
25,0.0038201694892482526,fwd_pkts_payload.min
26,0.019327596558879778,fwd_pkts_payload.max
27,0.006929059893510694,fwd_pkts_payload.tot
28,0.014401458193249374,fwd_pkts_payload.avg
29,0.0012373827849435706,fwd_pkts_payload.std
30,0.0013894024312503673,bwd_pkts_payload.min
31,0.014468961378285926,bwd_pkts_payload.max
32,0.0010067893079043835,bwd_pkts_payload.tot
33,0.0011496168938925188,bwd_pkts_payload.avg
34,0.0012074153555032465,bwd_pkts_payload.std
35,0.001559062736652605,flow_pkts_payload.min
36,0.0012808691653575332,flow_pkts_payload.max
37,0.0012709732273075496,flow_pkts_payload.tot
38,0.0012460784139255111,flow_pkts_payload.avg
39,0.001242064819159114,flow_pkts_payload.std
40,0.0015417411745791928,fwd_iat.min
41,0.0012394538519825912,fwd_iat.max
42,0.0011025069365975327,fwd_iat.tot
43,0.0029570365184190713,fwd_iat.avg
44,0.0012396201849436646,fwd_iat.std
45,0.04450612793125714,bwd_iat.min
46,0.0013589529074276338,bwd_iat.max
47,0.0010838879594253729,bwd_iat.tot
48,0.00487239382273268,bwd_iat.avg
49,0.0012212757160170251,bwd_iat.std
50,0.001296647865275618,flow_iat.min
51,0.001240992555131218,flow_iat.max
52,0.056178842183252815,flow_iat.tot
53,0.0010343859022259815,flow_iat.avg
54,0.0012342100547632566,flow_iat.std
55,0.007164604662925034,payload_bytes_per_second
56,0.008815624089081264,fwd_subflow_pkts
57,0.006464135318257189,bwd_subflow_pkts
58,0.029869298524654572,fwd_subflow_bytes
59,0.0012910647468970513,bwd_subflow_bytes
60,0.0010851775606527112,fwd_bulk_bytes
61,0.000962167825544362,bwd_bulk_bytes
62,0.001308645080098468,fwd_bulk_packets
63,0.0011048999063748815,bwd_bulk_packets
64,0.02226016832854078,fwd_bulk_rate
65,0.0011767307095169454,bwd_bulk_rate
66,0.0010073448641342994,active.min
67,0.0010332054866151444,active.max
68,0.0012230231505347207,active.tot
69,0.0013070326537612403,active.avg
70,0.0010605977730067963,active.std
71,0.0013180510485454543,idle.min
72,0.0012247848374192403,idle.max
73,0.000960682753934892,idle.tot
74,0.0012717372691284597,idle.avg
75,0.0010155409090913965,idle.std
76,0.0011649860002163736,fwd_init_window_size
77,0.010380361409319363,bwd_init_window_size
78,0.018530994168697797,fwd_last_window_size
