,importance
0,-0.09664587309549955
1,20.92827889808264
2,-0.5414984292513804
3,69.97464851793438
4,-19.18183543979872
5,-6.644966071495661
6,-11.124019059941503
7,-8.992996474587406
8,6.126328532770322
9,4.693178856759117
10,-4.779045534136294
11,0.5215947757592028
12,13.895967235968746
13,2.2258128898353493
14,0.12370200186634908
15,-0.9564709750668193
16,-2.062906061803704
17,0.18606941063273272
18,-55.30711575872237
19,-8.435712642893233
20,6.860011506619509
21,-0.02134983953955343
22,0.17967019488612868
23,-0.030730355340922742
24,0.3080734386625526
25,-3.183797188547885
26,-3.6987733098113327
27,-15.686763511578363
28,1.6640516896066222
29,3.147963999185928
30,-51.63863270707976
31,8.380617674645704
32,-9.09375966783439
33,4.405818531158112
34,0.509750623486304
35,3.0182358119327724
36,-7.105492420852859
37,-9.883028068597245
38,-1.7258617780511427
39,-3.836754788184805
40,0.18695553126315942
41,-1.8751096138874563
42,0.24726010099438597
43,-8.258796047468081
44,0.7533951482993493
45,-32.41188289283491
46,-3.4300978271284874
47,-56.258713078542904
48,-4.286753620357381
49,25.280522030473247
50,7.197153026272029
51,-6.674492525501305
52,-1.7165112251691184
53,-5.180439773813443
54,-18.956593089483874
55,-5.67430155524746
56,11.117065793359734
57,-13.153005506602879
58,-1.6564865453149604
59,4.087189951190209
60,-3.4874866464119965
61,3.591749048079857
62,-0.9315868662397344
63,-2.196199263270827
64,-2.341249428754735
65,-0.02873685042667905
66,1.4228621580914524
67,-18.766937477281623
68,17.940204053334256
69,11.687483503221568
70,8.022611907726583
71,9.022293976495948
72,2.2604226673846033
73,-7.075736875767478
74,11.796673456250897
75,9.130374741466522
76,-2.0964722379154717
77,0.031908640047117486
78,-22.70029796756547
