,importance,feature
0,0.0019472660809027667,flow_duration
1,0.002617884790202599,fwd_pkts_tot
2,0.0029502981647307825,bwd_pkts_tot
3,0.008884135872959208,fwd_data_pkts_tot
4,0.0028226064271925605,bwd_data_pkts_tot
5,0.007934638901046669,fwd_pkts_per_sec
6,0.024491985933218784,bwd_pkts_per_sec
7,0.004216035305543487,flow_pkts_per_sec
8,0.0028733296025060108,down_up_ratio
9,0.002247401692027221,fwd_header_size_tot
10,0.0020702070282149422,fwd_header_size_min
11,0.0022586214775172733,fwd_header_size_max
12,0.0025824995698079194,bwd_header_size_tot
13,0.0038619713665822442,bwd_header_size_min
14,0.0024095099329991014,bwd_header_size_max
15,0.023424016236521305,flow_FIN_flag_count
16,0.00255866066763532,flow_SYN_flag_count
17,0.003891770341245689,flow_RST_flag_count
18,0.008824800665471134,fwd_PSH_flag_count
19,0.002884996462557895,bwd_PSH_flag_count
20,0.0026759409989910265,flow_ACK_flag_count
21,0.0023123831656388823,fwd_URG_flag_count
22,0.0027088061495208248,bwd_URG_flag_count
23,0.0025424133873232706,flow_CWR_flag_count
24,0.002157556955304266,flow_ECE_flag_count
25,0.004214994346394608,fwd_pkts_payload.min
26,0.07595565463093253,fwd_pkts_payload.max
27,0.04124910425719534,fwd_pkts_payload.tot
28,0.025247644675429573,fwd_pkts_payload.avg
29,0.005381329340131704,fwd_pkts_payload.std
30,0.01897556447713876,bwd_pkts_payload.min
31,0.002759827836707495,bwd_pkts_payload.max
32,0.0020504048036309053,bwd_pkts_payload.tot
33,0.0025618745338980915,bwd_pkts_payload.avg
34,0.0029796817108923707,bwd_pkts_payload.std
35,0.027371266295813518,flow_pkts_payload.min
36,0.002448963207420286,flow_pkts_payload.max
37,0.0028138628179279175,flow_pkts_payload.tot
38,0.005774759863839174,flow_pkts_payload.avg
39,0.002213668156074637,flow_pkts_payload.std
40,0.01097522935445909,fwd_iat.min
41,0.0032306187322622957,fwd_iat.max
42,0.0018694961304264607,fwd_iat.tot
43,0.014049319599674617,fwd_iat.avg
44,0.002774115074870477,fwd_iat.std
45,0.06815829316341508,bwd_iat.min
46,0.009839528297428887,bwd_iat.max
47,0.036405019706150295,bwd_iat.tot
48,0.02528830511213174,bwd_iat.avg
49,0.0033651801142231446,bwd_iat.std
50,0.013201332556963008,flow_iat.min
51,0.0052967228797643,flow_iat.max
52,0.002989838085278196,flow_iat.tot
53,0.0022011049660994415,flow_iat.avg
54,0.012374565815658373,flow_iat.std
55,0.01764868856183098,payload_bytes_per_second
56,0.030901281079049738,fwd_subflow_pkts
57,0.0030451137328931423,bwd_subflow_pkts
58,0.06594334413549112,fwd_subflow_bytes
59,0.002575887301172663,bwd_subflow_bytes
60,0.002256174135298637,fwd_bulk_bytes
61,0.0025267203945344707,bwd_bulk_bytes
62,0.002651516899652005,fwd_bulk_packets
63,0.002667150245810845,bwd_bulk_packets
64,0.029888260602699935,fwd_bulk_rate
65,0.003056318954441548,bwd_bulk_rate
66,0.0022427195465173294,active.min
67,0.003171926222664962,active.max
68,0.002446523493625937,active.tot
69,0.0023266728649442097,active.avg
70,0.0025058596559483655,active.std
71,0.00262324939804383,idle.min
72,0.00254636542920001,idle.max
73,0.059231467119878166,idle.tot
74,0.002410009149130238,idle.avg
75,0.002879050149400395,idle.std
76,0.04180933183652132,fwd_init_window_size
77,0.020564988399218782,bwd_init_window_size
78,0.0794826104911557,fwd_last_window_size
